Dates,SPY US Equity,EFA US Equity,XLF US Equity,XLK US Equity,XLV US Equity,XLP US Equity,XLE US Equity,EWJ US Equity,EWZ US Equity,XLU US Equity,XLI US Equity,EZU US Equity,IYR US Equity,XLB US Equity,RWR US Equity,IXN US Equity,ISMUF US Equity,ICF US Equity,IYZ US Equity,ILF US Equity,IEV US Equity,TIP US Equity,AGG US Equity,IEF US Equity,TLT US Equity,SHY US Equity,LQD US Equity
9/28/12,171.4285,66.1605,15.3986,34.4273,46.58,44.0711,83.7448,40.42,69.1707,50.011,43.3385,38.8387,94.6761,45.1802,104.5569,73.1222,2.3997,110.6256,33.0164,50.9795,46.6441,174.9415,158.5896,148.4676,178.845,104.6317,187.244
10/31/12,168.3088,66.8783,15.7041,32.2444,46.4743,43.536,82.04,39.92,68.2623,50.7053,43.2903,39.8339,94.1172,44.235,103.627,69.7802,2.3997,109.2191,31.5809,50.6682,47.4232,176.0334,158.5176,147.8796,177.9775,104.5596,189.76264
11/30/12,169.2673,68.7446,15.5665,32.5342,46.7194,44.3356,81.0363,41.11,65.9975,48.5405,44.0503,41.191,93.5731,45.0574,103.133,70.8272,2.6788,108.5509,30.8825,49.866,48.5088,177.0156,158.9465,149.3284,180.4372,104.6119,188.97181
12/31/12,170.7844,71.7477,16.2916,32.4081,46.554,43.4187,81.8661,43.43,72.2472,48.5354,45.2958,43.4053,96.2752,46.4991,106.962,71.7134,2.8822,112.5666,31.6499,53.0903,50.5004,175.5587,158.5572,147.923,175.9469,104.6379,188.34658
1/31/13,179.5269,74.4228,17.2756,33.0259,50.0905,45.8696,88.6634,44.41,73.3191,50.8419,47.9012,45.0398,100.1458,48.3323,110.6265,72.6084,3.0774,115.8058,32.5762,55.0885,52.8134,174.6477,157.5723,146.0101,170.3424,104.6503,185.90254
2/28/13,181.8175,73.4575,17.4844,33.2843,50.7209,47.3873,89.0532,45.48,71.201,52.0233,48.9649,42.9643,101.4112,47.6759,111.5207,73.0133,3.0774,116.1497,31.1411,52.4969,50.9887,174.9803,158.5046,147.6645,172.4577,104.7131,187.90364
3/29/13,188.7221,74.4228,18.1605,34.1432,53.9412,49.7228,91.318,48.11,70.3616,54.8133,50.1252,42.3546,104.3179,48.7304,114.4013,74.3384,3.0774,119.012,31.8759,52.8602,51.0272,175.3534,158.6614,148.0872,171.7322,104.7483,187.81495
4/30/13,192.3479,78.1578,18.6501,34.741,55.4899,51.1856,90.1205,52.12,71.2269,58.0796,49.7531,44.7934,110.2935,49.1906,122.1529,75.5596,3.0774,127.485,35.1553,52.4727,53.3274,176.7458,160.1983,150.3449,179.775,104.8202,191.89821
5/31/13,196.8831,75.7982,19.7872,35.711,56.4044,50.0729,92.6881,48.29,65.725,52.8226,52.2498,45.3771,103.1318,50.1234,114.8731,77.6851,2.9281,119.214,34.3551,49.0334,53.4045,169.3348,156.9918,145.6759,167.6163,104.6796,185.72146
6/28/13,194.2586,73.7532,19.4714,34.6733,56.0687,49.9172,90.5868,50.2,57.7369,53.2874,51.4428,43.1585,100.6609,48.0579,112.9038,74.7853,2.9281,117.2377,34.2337,45.3117,50.946,162.897,154.5343,141.9659,162.1311,104.5767,179.65441
